2296	1007	-1
17067	2226	-1
7068	13514	-1
5987	5127	-1
9944	3257	-1
3777	9135	1
4822	20019	1
10116	14572	1
7694	6783	1
9476	12303	-1
265	17178	1
9275	8323	1
13700	11792	-1
14416	12129	1
1533	1274	1
16807	16781	-1
3853	13985	-1
16205	10825	-1
7468	21303	-1
2360	15696	-1
3093	3117	-1
15349	16199	1
25504	2630	-1
20143	235	-1
9514	8348	1
25012	9635	1
17366	8200	1
3676	5970	-1
11630	14689	1
11310	6482	1
17924	17999	1
10046	24127	-1
2728	10056	-1
15569	718	1
14100	13904	1
3976	16687	-1
7373	6521	-1
6502	14628	-1
3370	3656	-1
2456	23438	1
12494	12389	1
16626	15674	1
5587	10196	-1
13287	24916	1
12233	10498	1
3470	4079	-1
2756	6968	1
16152	1083	1
280	19	-1
24364	23555	1
8733	14811	-1
2630	2273	-1
10134	7159	-1
21361	19646	-1
21547	21921	-1
11758	10326	-1
15771	16339	-1
12152	9134	1
15139	963	1
10046	8372	1
15657	17060	-1
9668	10215	-1
7068	6993	1
16339	272	-1
14628	15623	1
3700	10541	-1
1343	1325	-1
6160	18811	-1
6047	3448	-1
758	16409	-1
1702	1029	-1
12869	23491	-1
7529	20143	1
23903	7707	-1
7106	7246	-1
12942	6338	-1
45	5680	-1
1973	2425	-1
26219	26300	-1
10321	10912	1
1586	7458	-1
14384	13213	1
4927	14307	1
357	5598	-1
8251	627	-1
5368	19166	1
14744	4822	-1
7735	19261	-1
148	1202	1
11709	3608	1
2620	22524	1
3394	558	-1
6093	3256	1
8166	15185	-1
16374	1067	-1
16697	1992	-1
4978	15211	1
5270	4531	-1
13303	10817	1
23196	23541	-1
23055	1673	-1
17477	808	1
3462	17143	-1
743	5541	-1
1903	3545	-1
11815	10659	-1
14495	13757	-1
23188	13072	-1
4651	7068	-1
2388	23892	1
19669	6562	-1
14675	15413	1
8336	21297	-1
243	2948	-1
9661	10844	1
826	12434	-1
730	9869	-1
1573	217	-1
3627	17956	-1
9609	10061	-1
4753	357	1
16016	9809	-1
3586	305	1
3654	3891	1
10763	14446	-1
21340	22117	-1
1303	16946	-1
7043	6542	1
2728	1927	1
14062	3071	1
18758	18787	-1
6268	9600	-1
8681	1308	-1
876	1185	1
464	7171	1
9652	16827	-1
4568	8147	1
25986	18916	-1
22746	22707	1
5648	5893	-1
12547	14265	-1
6470	10367	-1
7175	10195	-1
9246	2322	-1
24404	8951	1
5935	10774	-1
17549	3277	-1
16422	16101	-1
1171	17047	1
9206	10228	1
7655	14146	1
2834	1483	-1
16345	4068	1
21510	23161	1
2890	2334	-1
108	6573	-1
300	3750	-1
22389	8428	-1
21736	21310	-1
8147	8479	1
25327	18290	1
1279	3245	-1
18994	408	1
3499	167	-1
14363	12231	1
7022	13006	-1
5185	1245	-1
25996	25971	-1
5926	3981	1
16673	279	1
16191	6887	-1
15610	14460	-1
2695	2548	-1
1983	12719	1
24281	10993	1
952	4326	1
16212	5131	1
7167	10542	-1
2296	13334	-1
13876	25812	-1
1309	6473	-1
1988	2913	1
18036	3401	1
23791	7173	-1
8911	8364	-1
13142	7291	-1
9571	9355	1
4379	10326	1
24552	15772	-1
12505	12479	1
20242	3015	1
8796	9970	-1
6489	21154	1
243	3308	1
2968	11680	-1
5823	18183	-1
22693	22793	-1
24508	5950	-1
12891	22849	1
7578	5508	-1
3581	6841	-1
17215	17301	1
2497	3167	-1
14514	20882	-1
1683	3171	-1
10147	12624	-1
22069	10051	-1
3388	3974	1
9424	12981	1
24252	11798	-1
10106	9770	-1
